locali_id,geo_point_2d,carref_id,carref_datesupp,carref_datecre,carref_datemaj,accessi_desc,id
7,"45.1757166789634,5.71861657219148",351,,20000101000000,,Accessible,154
7,"45.1810944965072,5.71384635994284",348,,20000101000000,,Accessible,155
7,"45.1816015063781,5.71457190671941",347,,20000101000000,,Accessible,156
7,"45.1754984701919,5.71992758462061",349,,20000101000000,,Accessible,157
7,"45.1756042446558,5.71927970547391",350,,20000101000000,,Accessible,158
7,"45.1898284490823,5.72119904430545",354,,20000101000000,,Accessible,159
7,"45.1768781557061,5.74118198361485",355,,20000101000000,,Accessible,160
7,"45.1883647456791,5.7191588994138",364,,20000101000000,,Accessible,161
7,"45.1910227458741,5.72006478628914",357,,20000101000000,,Accessible,162
7,"45.1895269901416,5.71954682654216",362,,20000101000000,,Accessible,163
7,"45.1870322509099,5.71871548104199",368,,20000101000000,,Accessible,164
7,"45.162761704245,5.71888799658451",384,,20000101000000,,Accessible,168
7,"45.1813939127001,5.71681707205076",379,,20000101000000,,Accessible,169
7,"45.1839527481263,5.71767135123934",375,,20000101000000,,Accessible,170
7,"45.1851768069659,5.71808754592084",373,,20000101000000,,Accessible,171
7,"45.1828215432587,5.71729590289551",376,,20000101000000,,Accessible,172
7,"45.1818448568087,5.71696131893443",378,,20000101000000,,Accessible,173
7,"45.1922417709705,5.71594890797819",380,,20000101000000,,Accessible,174
7,"45.1853088153218,5.73188935696086",382,,20000101000000,,Accessible,175
7,"45.1859013528763,5.73339526968188",383,,20000101000000,,Accessible,176
7,"45.1873720815587,5.73713345226734",386,,20000101000000,,Accessible,177
7,"45.1865165126379,5.73495878112897",385,,20000101000000,,Accessible,178
7,"45.1646459735078,5.7268321025923",387,,20000101000000,,Accessible,179
7,"45.1877837017231,5.73817977394811",388,,20000101000000,,Accessible,180
7,"45.1646188156421,5.7255828804549",392,,20000101000000,,Accessible,181
7,"45.1896418990651,5.74234793156168",390,,20000101000000,,Accessible,182
7,"45.1833490915976,5.73364716776952",395,,20000101000000,,Accessible,183
7,"45.1764846927512,5.7370390102978",406,,20000101000000,,Accessible,184
7,"45.181350021144,5.73464278272215",398,,20000101000000,,Accessible,185
7,"45.1820145641972,5.73431546049113",397,,20000101000000,,Accessible,186
7,"45.1806055689409,5.73500946430215",399,,20000101000000,,Accessible,187
7,"45.1793164042969,5.73564441465872",402,,20000101000000,,Accessible,188
7,"45.1716854479694,5.73940227411225",411,,20000101000000,,Accessible,189
7,"45.1753138047437,5.73761562399733",408,,20000101000000,,Accessible,190
7,"45.1731368666387,5.7386876015978",409,,20000101000000,,Accessible,191
7,"45.1691078675425,5.74067136048772",413,,20000101000000,,Accessible,192
7,"45.1706642910497,5.73990506332672",412,,20000101000000,,Accessible,193
7,"45.1686492886598,5.74089712665689",414,,20000101000000,,Accessible,194
7,"45.1840963625106,5.74367448648914",426,,20000101000000,,Accessible,195
7,"45.1610056665051,5.70759758860949",421,,20000101000000,,Accessible,196
7,"45.1705562580477,5.7275657923853",419,,20000101000000,,Accessible,197
7,"45.1856790103064,5.71443845753997",420,,20000101000000,,Accessible,198
7,"45.1811289939551,5.71215922330943",423,,20000101000000,,Accessible,199
7,"45.1828899210018,5.7442201925789",428,,20000101000000,,Accessible,200
7,"45.1816068582385,5.74480053430394",429,,20000101000000,,Accessible,201
7,"45.1782442774265,5.74552883315945",434,,20000101000000,,Accessible,202
7,"45.189284715987,5.71288882779185",433,,20000101000000,,Accessible,203
7,"45.1734755769928,5.74017449736134",436,,20000101000000,,Accessible,204
7,"45.1908090141803,5.73581469009395",447,,20000101000000,,Accessible,205
7,"45.192036035196,5.73482284220197",445,,20000101000000,,Accessible,206
7,"45.1724620095038,5.72174275929123",446,,20000101000000,,Accessible,207
7,"45.1803037253923,5.71543832315812",452,,20000101000000,,Accessible,208
7,"45.1874679995353,5.70751603286516",702,,20000101000000,,Accessible,1
7,"45.1820958974874,5.71539875359803",346,,20000101000000,,Accessible,2
7,"45.1786941740098,5.74502420246461",172,,20000101000000,,Accessible,3
7,"45.190697801282,5.73041459111493",2,,20000101000000,,Accessible,4
7,"45.191057186871,5.73048834822346",1,,20000101000000,,Accessible,5
7,"45.1929755937918,5.72979651059553",3,,20000101000000,,Accessible,6
7,"45.1930354967413,5.72942392710916",4,,20000101000000,,Accessible,7
7,"45.1937996750791,5.72899792654392",7,,20000101000000,,Accessible,8
7,"45.1927724301316,5.72979836793128",6,,20000101000000,,Accessible,9
7,"45.1939184607238,5.72920524555859",8,,20000101000000,,Accessible,10
7,"45.1923942647885,5.72767338449069",15,,20000101000000,,Accessible,11
7,"45.192881315355,5.72831829648129",12,,20000101000000,,Accessible,12
7,"45.193049936558,5.7279362617309",11,,20000101000000,,Accessible,13
7,"45.1931534918933,5.72867680586852",13,,20000101000000,,Accessible,14
7,"45.1929102772773,5.72871067989078",14,,20000101000000,,Accessible,15
7,"45.1923011379237,5.72096824791862",18,,20000101000000,,Accessible,16
7,"45.187283792552,5.73008154974354",31,,20000101000000,,Accessible,17
7,"45.1889839282013,5.72939184199259",25,,20000101000000,,Accessible,18
7,"45.1894605050706,5.72906529698199",22,,20000101000000,,Accessible,19
7,"45.1898078982183,5.72620688544186",21,,20000101000000,,Accessible,20
7,"45.1895340704831,5.72964842511173",23,,20000101000000,,Accessible,21
7,"45.1891671298551,5.72992644696875",24,,20000101000000,,Accessible,22
7,"45.1862267610725,5.7292325815122",28,,20000101000000,,Accessible,23
