"fid","id","id_local","id_osm","code_com","xlong","ylat","capacite","capacite_cargo","mobilier","protection","couverture","acces","surveillance","lumiere","url_info","d_service","source","proprietaire","gestionnaire","date_maj","commentaires","nom_local","commune_local","adresse_local","gratuit","type_accroche","type","CODE","epci",lon,lat
"66","33","33","null","38158","5.755323859526279","45.147326527575274","10","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","VELODROME","Eybens","Avenue des maquis de l'Oisans - pk Velodrome","null","null","stationnementcyclable","65","LaMetro",5.75532,45.14733
"67","45","45","null","38179","5.785186604293254","45.185503808663924","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","GIERES GARE","Gières","Passage de la Gare","null","null","stationnementcyclable","66","LaMetro",5.78519,45.1855
"68","46","46","null","38169","5.671719","45.197364","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","LA POYA","Fontaine","143 boulevard Paul Langevin","null","null","stationnementcyclable","67","LaMetro",5.67172,45.19736
"69","48","48","null","38179","5.783964","45.187935","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","PLAINE DES SPORTS","Gières","1 rue des Glairons","null","null","stationnementcyclable","68","LaMetro",5.78396,45.18793
"70","52","52","null","38516","5.74061068874325","45.201752322825826","10","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","HOPITAL LA TRONCHE","La Tronche","Quai Yermoloff","null","null","stationnementcyclable","69","LaMetro",5.74061,45.20175
"71","54","54","null","38185","5.710925","45.194908","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","CITE INTERNATIONALE","Grenoble","90 rue Félix Esclangon","null","null","stationnementcyclable","70","LaMetro",5.71093,45.19491
"72","55","55","null","38185","5.734161","45.156786","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","ALPEXPO","Grenoble","21 rue Henri Barbusse","null","null","stationnementcyclable","71","LaMetro",5.73416,45.15679
"73","56","56","null","38185","5.734032","45.201414","10","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","PETITE TRONCHE","Grenoble","Quai Yermoloff","null","null","stationnementcyclable","72","LaMetro",5.73403,45.20141
"74","57","57","null","38185","5.713261","45.179976","5","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2022-05-20","SMMAG","SMMAG","Mvélo+","2022-05-20","box","PALLUEL","Fontanil-Cornillon","15 Boulevard Joseph VallierGrenoble","null","null","stationnementcyclable","73","LaMetro",5.66165,45.25455
"75","67","67","null","38151","5.715447","45.142253","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","AUGUSTE DELAUNE","Grenoble","90 av du Général de Gaulle","null","null","stationnementcyclable","74","LaMetro",5.71545,45.14225
"76","68","68","null","38516","5.743867","45.191858","10","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","GRAND SABLON","La Tronche","21 avenue du Grand Sablon","null","null","stationnementcyclable","75","LaMetro",5.74387,45.19186
"77","70","70","null","38229","5.791479","45.211499","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","BEALIERES","Meylan","Avenue du Granier arret bus C1 Les Béalieres","null","null","stationnementcyclable","76","LaMetro",5.79148,45.2115
"78","71","71","null","38229","5.764561","45.205384","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","AIGUINARDS","Meylan","80 rue des Aiguinards","null","null","stationnementcyclable","77","LaMetro",5.76456,45.20538
"79","72","72","null","38271","5.816456","45.191644","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","MURINANETTE","Murianette","85 rue de la Libération","null","null","stationnementcyclable","78","LaMetro",5.81646,45.19164
"80","77","77","null","38382","5.684019","45.231718","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","PONT DE VENCE","Saint-Égrève","9 avenue de la Monta","null","null","stationnementcyclable","79","LaMetro",5.68402,45.23172
"81","78","78","null","38382","5.660706","45.237049","10","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","SAN MARINO BARRAGE","Saint-Égrève","chemin des Acacias","null","null","stationnementcyclable","80","LaMetro",5.66071,45.23705
"82","81","81","null","38421","5.757608","45.171872","6","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","ETIENNE GRAPPE","Saint-Martin-d'Hères","40 avenue de Potié","null","null","stationnementcyclable","81","LaMetro",5.75761,45.17187
