FID,id,rute_nr,rutenavn,status,kategori,under_kategori,kommune,ogc_fid,wkb_geometry
cykeldata_kk.fid-2b80431e_19460c4a556_6b83,429,,,Eksisterende,Cykelmulighed,,København,25,"MULTILINESTRING ((12.572005018272321 55.679092324436404, 12.571986136582103 55.67916651641975, 12.571937864478377 55.6793561334492, 12.57193618284135 55.67936271457063))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b84,491,,,Eksisterende,Cykelmulighed,Grøn,København,26,"MULTILINESTRING ((12.5684319314768 55.698074476012366, 12.568353191624942 55.69810841782301, 12.56817898184334 55.69821592041286, 12.568100869252872 55.69826412240816, 12.567963801047313 55.698346338068795, 12.56788213872653 55.69839538080316, 12.56770377583057 55.69847263452595, 12.567621758259683 55.69850815833413, 12.567295939195356 55.69862967228481, 12.567233333040937 55.698651994329026, 12.567030259528021 55.69872452921294, 12.566691042443008 55.69886153727647, 12.566665673374374 55.69887404650917, 12.566457920571011 55.698976486836095, 12.56639717241154 55.699005228468174))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b85,488,,,Eksisterende,Cykelmulighed,Grøn,København,27,"MULTILINESTRING ((12.569275233528785 55.69795528615716, 12.568798008768802 55.69799390885433, 12.568599931072631 55.69802417974648, 12.568525004843245 55.698044073491516, 12.5684319314768 55.698074476012366))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b86,521,,,Eksisterende,Cykelmulighed,Grøn,København,28,"MULTILINESTRING ((12.520057341886421 55.64049779954418, 12.519322774700841 55.63928602212203))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b87,487,,,Eksisterende,Cykelmulighed,Grøn,København,29,"MULTILINESTRING ((12.569968933609186 55.702048255763465, 12.569982663353539 55.70202771462247, 12.569997418514681 55.70195211408022, 12.570051449317653 55.70174507982658, 12.570097191544576 55.70162343873378))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b88,3586,,,Eksisterende,Cykelmulighed,Grøn,København,30,"MULTILINESTRING ((12.568195747864628 55.72525385230279, 12.568073198035282 55.72571980681123))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b89,958,,,Eksisterende,Cykelmulighed,Grøn,København,31,"MULTILINESTRING ((12.459922262101951 55.71297697434361, 12.459979755257713 55.71290513059413, 12.460459206659493 55.71261224650815, 12.46062286477824 55.7125053085866, 12.461379147268572 55.71193681904162, 12.461882685212244 55.711602754197436, 12.461911415147235 55.71159247694131, 12.462400700819787 55.71122577900604, 12.462452453354194 55.71119380500033, 12.46253721499709 55.7111454697286, 12.462576649830082 55.7111323622496, 12.462656665484577 55.711114773435455, 12.463160547658381 55.710986899686844))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b8a,2388,,,Eksisterende,Cykelsti,P,København,627,"MULTILINESTRING ((12.51341343845774 55.7063731355865, 12.512328773076257 55.70622208617949))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b8b,907,,,Eksisterende,Cykelmulighed,Grøn,København,32,"MULTILINESTRING ((12.629679407223806 55.664614313534514, 12.627407014899891 55.66436269580068, 12.627222623108436 55.664374558214135, 12.62708524740246 55.66438905357296, 12.626917243414784 55.66434409064836))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b8c,3587,,,Eksisterende,Cykelmulighed,Grøn,København,33,"MULTILINESTRING ((12.568073198035282 55.72571980681123, 12.567733544271618 55.726873359224015))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b8d,3588,,,Eksisterende,Cykelmulighed,Grøn,København,34,"MULTILINESTRING ((12.567808994758105 55.726878673438065, 12.567750589109304 55.72706947670814))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b8e,520,,,Eksisterende,Cykelmulighed,Grøn,København,35,"MULTILINESTRING ((12.520057341886421 55.64049779954418, 12.52068043406854 55.64150989109449))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b8f,486,,,Eksisterende,Cykelmulighed,Grøn,København,36,"MULTILINESTRING ((12.569994683796399 55.70217860612114, 12.569987917997125 55.70210273277546, 12.569968933609186 55.702048255763465))"
