ogc_fid,geo_point_2d,anne_maj,lametro,type,name,geo_shape,geometry
2006,"45.16067,5.74809",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.74809,45.16067],[5.74786,45.16079],[5.74784,45.16086],[5.74722,45.16113],[5.74693,45.16086]]}","LINESTRING (639874.4518339079 5646851.254331865, 639848.8483510255 5646870.199095506, 639846.6219612096 5646881.25022606, 639777.6038769179 5646923.876142517, 639745.3212245876 5646881.25022606)"
2007,"45.16086,5.74693",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.74693,45.16086],[5.74491,45.16054]]}","LINESTRING (639745.3212245876 5646881.25022606, 639520.4558531853 5646830.730882945)"
1992,"45.16802,5.74998",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.74998,45.16802],[5.75202,45.16674]]}","LINESTRING (640084.8456715072 5648011.694738102, 640311.9374327254 5647809.593669153)"
1993,"45.16519,5.75444",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75444,45.16519],[5.75409,45.16492],[5.75378,45.16467],[5.75315,45.16417],[5.7527,45.16381],[5.75215,45.16339],[5.75191,45.1632]]}","LINESTRING (640581.3306004452 5647564.86798515, 640542.3687786675 5647522.239030858, 640507.8597365216 5647482.767957032, 640437.7284573219 5647403.826329032, 640387.6346864648 5647346.988785886, 640326.4089665286 5647280.67877283, 640299.6922887382 5647250.681546572)"
1994,"45.16552,5.74824",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.74824,45.16552],[5.74915,45.16653],[5.7493,45.16673],[5.74942,45.16689],[5.74949,45.16701],[5.74961,45.16721],[5.74967,45.16732],[5.74999,45.16805]]}","LINESTRING (639891.1497575269 5647616.970314778, 639992.4504941488 5647776.436896182, 640009.1484177677 5647808.01477243, 640022.506756663 5647833.277153255, 640030.2991210185 5647852.223985441, 640043.6574599136 5647883.802127782, 640050.3366293613 5647901.170153329, 640085.9588664151 5648016.431536375)"
1995,"45.16805,5.74999",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.74999,45.16805],[5.75016,45.16844],[5.75018,45.16856],[5.7502,45.16864],[5.75021,45.1687],[5.75027,45.16889],[5.75033,45.16908],[5.75045,45.16989],[5.75047,45.16998]]}","LINESTRING (640085.9588664151 5648016.431536375, 640104.8831798501 5648078.010140929, 640107.1095696659 5648096.957488694, 640109.3359594818 5648109.589076047, 640110.4491543897 5648119.062778203, 640117.1283238373 5648149.062900867, 640123.8074932848 5648179.063123608, 640137.16583218 5648306.9599327445, 640139.3922219959 5648321.170801589)"
1996,"45.16865,5.75535",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75535,45.16865],[5.75475,45.16908],[5.7547,45.16923]]}","LINESTRING (640682.6313370671 5648111.1680257125, 640615.8396425911 5648179.063123608, 640610.2736680513 5648202.747580669)"
1997,"45.16923,5.7547",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.7547,45.16923],[5.75483,45.16945],[5.75502,45.16986],[5.75524,45.17053]]}","LINESTRING (640610.2736680513 5648202.747580669, 640624.7452018546 5648237.484897187, 640645.8959051053 5648302.222981452, 640670.3861930798 5648408.015488004)"
1998,"45.16036,5.75062",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75062,45.16036],[5.75072,45.16042],[5.75076,45.1604],[5.75089,45.16049],[5.75064,45.16066],[5.74932,45.16142],[5.7491,45.16156],[5.74903,45.16164],[5.74896,45.16174],[5.74888,45.1618],[5.74883,45.16181],[5.74864,45.16178],[5.74845,45.16176],[5.74838,45.16176],[5.74826,45.16182]]}","LINESTRING (640156.0901456148 5646802.313877132, 640167.2220946943 5646811.786202428, 640171.6748743259 5646808.628759554, 640186.146408129 5646822.837261214, 640158.3165354307 5646849.675603362, 640011.3748075835 5646969.65975927, 639986.8845196092 5646991.762278351, 639979.0921552536 5647004.39231364, 639971.2997908981 5647020.17988269, 639962.3942316346 5647029.652437421, 639956.828257095 5647031.231197514, 639935.6775538442 5647026.494918068, 639914.5268505935 5647023.337399825, 639906.734486238 5647023.337399825, 639893.3761473427 5647032.809957881)"
1999,"45.16036,5.75062",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75062,45.16036],[5.7515,45.15979]]}","LINESTRING (640156.0901456148 5646802.313877132, 640254.051297513 5646712.327284325)"
1984,"45.1947,5.76332",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.76332,45.1947],[5.76297,45.19471],[5.76277,45.1947],[5.76243,45.19465],[5.76212,45.1946],[5.76185,45.19454],[5.76152,45.19446],[5.76102,45.19426],[5.7607,45.19413],[5.76043,45.19399],[5.76012,45.19384],[5.7599,45.19367],[5.75971,45.19349],[5.75951,45.19325],[5.75942,45.19315],[5.75933,45.19298],[5.75927,45.19286],[5.75923,45.19271],[5.7592,45.19256],[5.75918,45.19239],[5.75921,45.19223],[5.75923,45.19215],[5.75922,45.19207]]}","LINESTRING (641569.8476786895 5652225.273259453, 641530.8858569118 5652226.852932013, 641508.6219587531 5652225.273259453, 641470.7733318835 5652217.374900823, 641436.2642897376 5652209.476549134, 641406.2080272234 5652199.9985362645, 641369.4725952615 5652187.361201317, 641313.812849865 5652155.767941672, 641278.1906128111 5652135.232382444, 641248.1343502969 5652113.117217276, 641213.625308151 5652089.422457825, 641189.1350201764 5652062.568472613, 641167.9843169258 5652034.134928647, 641145.7204187671 5651996.223676589, 641135.7016645956 5651980.42736875, 641125.6829104243 5651953.573709124, 641119.0037409767 5651934.618232978, 641114.5509613449 5651910.923943998, 641111.2113766212 5651887.229717472, 641108.9849868052 5651860.3763362365, 641112.3245715292 5651835.102638934, 641114.5509613449 5651822.465816927, 641113.437766437 5651809.829012683)"
1985,"45.17352,5.75539",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75539,45.17352],[5.75459,45.17313],[5.75347,45.17254]]}","LINESTRING (640687.0841166988 5648880.149455889, 640598.0285240642 5648818.565358716, 640473.3506943757 5648725.400474837)"
1986,"45.17254,5.75347",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75347,45.17254],[5.75478,45.17194],[5.75496,45.17184],[5.75507,45.17171],[5.75525,45.17135],[5.75524,45.17053]]}","LINESTRING (640473.3506943757 5648725.400474837, 640619.1792273149 5648630.657514956, 640639.2167356577 5648614.867118683, 640651.4618796449 5648594.339644974, 640671.4993879877 5648537.494577705, 640670.3861930798 5648408.015488004)"
1987,"45.17684,5.74748",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.74748,45.17684],[5.7478,45.17601]]}","LINESTRING (639806.546944524 5649404.4208988035, 639842.1691815779 5649273.350172545)"
1988,"45.17601,5.7478",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.7478,45.17601],[5.74805,45.17546]]}","LINESTRING (639842.1691815779 5649273.350172545, 639869.9990542762 5649186.497129239)"
1989,"45.16796,5.75474",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75474,45.16796],[5.75522,45.16833]]}","LINESTRING (640614.7264476832 5648002.221149044, 640668.1598032638 5648060.641773879)"
1990,"45.16796,5.75474",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75474,45.16796],[5.75383,45.16718]]}","LINESTRING (640614.7264476832 5648002.221149044, 640513.4257110612 5647879.065399363)"
1991,"45.16718,5.75383",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75383,45.16718],[5.75279,45.16628]]}","LINESTRING (640513.4257110612 5647879.065399363, 640397.6534406362 5647736.964706779)"
1976,"45.19696,5.75122",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75122,45.19696],[5.75093,45.19691],[5.75061,45.19687],[5.75023,45.19686],[5.74966,45.19686],[5.74931,45.19688],[5.7491,45.19689],[5.74894,45.19691],[5.74876,45.19695]]}","LINESTRING (640222.8818400908 5652582.286315625, 640190.5991877608 5652574.3876433065, 640154.9769507069 5652568.068710448, 640112.6755442055 5652566.488977928, 640049.2234344534 5652566.488977928, 640010.2616126757 5652569.648443246, 639986.8845196092 5652571.228176322, 639969.0734010822 5652574.3876433065, 639949.0358927393 5652580.706580607)"
1977,"45.2062,5.75252",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75252,45.2062],[5.75279,45.20626],[5.75313,45.20636],[5.75358,45.20652],[5.754,45.2067],[5.75466,45.20698],[5.75512,45.20719],[5.75583,45.20745],[5.75609,45.20759]]}","LINESTRING (640367.597178122 5654042.080132512, 640397.6534406362 5654051.560087945, 640435.502067506 5654067.360035889, 640485.5958383629 5654092.640010374, 640532.3500244961 5654121.080066662, 640605.8208884196 5654165.3203331, 640657.0278541845 5654198.500675837, 640736.0646926478 5654239.581269895, 640765.0077602542 5654261.701667548)"
1978,"45.20759,5.75609",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75609,45.20759],[5.75645,45.20775],[5.75741,45.20815],[5.75798,45.20843],[5.75924,45.20889],[5.7594,45.20897],[5.76031,45.20935],[5.76145,45.20982],[5.76224,45.21012]]}","LINESTRING (640765.0077602542 5654261.701667548, 640805.0827769396 5654286.982188673, 640911.9494881012 5654350.183802598, 640975.4015978533 5654394.425196791, 641115.6641562529 5654467.107960044, 641133.4752747798 5654479.748500613, 641234.7760114017 5654539.791311105, 641361.680230906 5654614.055342143, 641449.6226286327 5654661.458236011)"
