mob_arce_id,geo_point_2d,mob_arce_nb,mob_arce_typ,mob_arce_datecre,latitude,longitude,geometry,rayon
1014,"45.1858515952847,5.72868103802153",3,nouveau modèle,20140917000000,45.1858515952847,5.72868103802153,POINT (637713.8560696385 5650827.623820215),8.660254037844386
1103,"45.185737567316,5.70585235407789",2,nouveau modèle,20120101000000,45.185737567316,5.70585235407789,POINT (635172.578597552 5650809.613954614),7.0710678118654755
1104,"45.1777007915711,5.74421855474037",4,nouveau modèle,20120101000000,45.1777007915711,5.74421855474037,POINT (639443.4845189719 5649540.35614148),10.0
1105,"45.1618320235865,5.73251897268937",3,nouveau modèle,20120101000000,45.1618320235865,5.73251897268937,POINT (638141.0930025603 5647034.708194435),8.660254037844386
1106,"45.1820893338507,5.7387003038224",3,nouveau modèle,20120101000000,45.1820893338507,5.7387003038224,POINT (638829.1956367139 5650233.421779555),8.660254037844386
1107,"45.1860197615354,5.70708280646584",3,nouveau modèle,20120101000000,45.1860197615354,5.70708280646584,POINT (635309.551930824 5650854.184488753),8.660254037844386
1108,"45.1879376314115,5.71949516878925",2,nouveau modèle,20120101000000,45.1879376314115,5.71949516878925,POINT (636691.2897842076 5651157.104005916),7.0710678118654755
1109,"45.1976551559353,5.74018850586408",3,nouveau modèle,20120101000000,45.1976551559353,5.74018850586408,POINT (638994.8615301913 5652692.103213543),8.660254037844386
1110,"45.1889775365025,5.72568812564171",4,nouveau modèle,20120101000000,45.1889775365025,5.72568812564171,POINT (637380.6865875282 5651321.356928556),10.0
1111,"45.1679439285541,5.72671973058123",4,nouveau modèle,20120101000000,45.1679439285541,5.72671973058123,POINT (637495.5243240955 5647999.683579505),10.0
1112,"45.1902775161674,5.72466446283661",3,nouveau modèle,20120101000000,45.1902775161674,5.72466446283661,POINT (637266.7329653203 5651526.69282906),8.660254037844386
1113,"45.1936077507846,5.71203113423081",3,nouveau modèle,20120101000000,45.1936077507846,5.71203113423081,POINT (635860.3972578987 5652052.735319091),8.660254037844386
1114,"45.1933880089487,5.71447113573122",3,nouveau modèle,20120101000000,45.1933880089487,5.71447113573122,POINT (636132.0169824591 5652018.0240405565),8.660254037844386
1115,"45.1753166228446,5.74239276058224",3,nouveau modèle,20120101000000,45.1753166228446,5.74239276058224,POINT (639240.2380429953 5649163.855917468),8.660254037844386
